2017-05-05 05:30:00,1
2017-05-05 06:00:00,3
2017-05-05 06:30:00,3
2017-05-05 07:00:00,7
2017-05-05 07:30:00,14
2017-05-05 08:00:00,25
2017-05-05 08:30:42,40
2017-05-05 09:00:00,52
2017-05-05 09:30:13,39
2017-05-05 10:00:00,54
2017-05-05 10:30:00,52
2017-05-05 11:00:00,49
2017-05-05 11:30:00,47
2017-05-05 12:00:00,54
2017-05-05 12:30:00,78
2017-05-05 13:00:13,78
2017-05-05 13:30:00,86
2017-05-05 14:00:00,77
2017-05-05 14:30:00,85
2017-05-05 15:00:00,63
2017-05-05 15:30:00,73
2017-05-05 16:00:00,54
2017-05-05 16:30:13,53
2017-05-05 17:00:00,61
2017-05-05 17:30:11,109
2017-05-05 18:00:00,51
2017-05-05 18:30:42,36
2017-05-05 19:00:11,36
2017-05-05 19:30:00,43
2017-05-05 20:00:00,29
2017-05-05 20:30:00,16
2017-05-05 21:00:00,17
2017-05-05 21:30:00,15
2017-05-05 22:00:00,3
2017-05-05 22:30:11,4
2017-05-05 23:00:00,4
2017-05-05 23:30:00,3
2017-05-06 00:00:00,1
2017-05-06 00:30:00,2
2017-05-06 01:00:00,2
2017-05-06 01:30:00,3
2017-05-06 02:00:00,3
2017-05-06 02:30:00,0
2017-05-06 03:00:35,0
2017-05-06 03:30:00,0
2017-05-06 04:00:00,0
2017-05-06 04:30:00,1
2017-05-06 05:00:00,2
